entity,n_with,mean_target_with,enc_with,global_mean_with,n_without,mean_target_without,enc_without,global_mean_without,obs_gained,enc_abs_diff,entity_col
ARAAFA,8,8.233330641825294,8.875825662788383,9.389821679558855,6,8.067179519507398,8.886084626599587,9.377427690854901,2,0.010258963811203614,sire_target_enc
ARABIAN GLEAM,2,8.816611441960589,9.294286639959145,9.389821679558855,1,8.85366542803745,9.329812939689678,9.377427690854901,1,0.035526299730532784,sire_target_enc
ARAKAN,12,9.367505953906276,9.37764946556654,9.389821679558855,12,9.367505953906276,9.37201583433747,9.377427690854901,0,0.005633631229070346,sire_target_enc
ARCANO,49,9.317479532603123,9.329740913443079,9.389821679558855,46,9.318830290949878,9.32929411236149,9.377427690854901,3,0.00044680108158878795,sire_target_enc
ARCH,26,10.075063161540536,9.884718305434513,9.389821679558855,25,10.011958191708343,9.830663762893073,9.377427690854901,1,0.05405454254144004,sire_target_enc
ARCHIPENKO,37,9.609314982229522,9.562614279533635,9.389821679558855,35,9.557456198460702,9.517449863437191,9.377427690854901,2,0.04516441609644417,sire_target_enc
ARDAD,41,9.053386118387708,9.11935387548009,9.389821679558855,37,9.00366292951395,9.083187346820536,9.377427690854901,4,0.03616652865955494,sire_target_enc
AREION,1,8.006367567650246,9.2640531239308,9.389821679558855,1,8.006367567650246,9.25278586147266,9.377427690854901,0,0.011267262458140692,sire_target_enc
ARIZONA,7,8.513159637271269,9.028843191558083,9.389821679558855,7,8.513159637271269,9.021552609967523,9.377427690854901,0,0.0072905815905599525,sire_target_enc
ARKADIAN HERO,1,9.740968623038354,9.421744128966083,9.389821679558855,1,9.740968623038354,9.410476866507942,9.377427690854901,0,0.011267262458140692,sire_target_enc
ART CONNOISSEUR,9,9.237835871780991,9.317828402190393,9.389821679558855,8,9.327916206826584,9.355422586842316,9.377427690854901,1,0.037594184651922546,sire_target_enc
ARTIE SCHILLER,6,9.133267782039866,9.293613967989234,9.389821679558855,6,9.133267782039866,9.285867725049263,9.377427690854901,0,0.007746242939971282,sire_target_enc
ASSERTIVE,8,8.43292899118536,8.964536040281747,9.389821679558855,7,8.254726846894425,8.915139108047647,9.377427690854901,1,0.04939693223409947,sire_target_enc
ASTRONOMER ROYAL,4,8.087826027254286,9.017822921757551,9.389821679558855,4,8.087826027254286,9.008970072683297,9.377427690854901,0,0.008852849074253655,sire_target_enc
AUCTION HOUSE,5,9.541318207043787,9.440320522053833,9.389821679558855,5,9.541318207043787,9.432057862917864,9.377427690854901,0,0.00826265913596913,sire_target_enc
AUENADLER,1,8.294049640102028,9.290206039608234,9.389821679558855,1,8.294049640102028,9.278938777150096,9.377427690854901,0,0.011267262458138916,sire_target_enc
AUSSIE RULES,33,9.268882484231522,9.297007878493693,9.389821679558855,31,9.283481095870194,9.306394899525,9.377427690854901,2,0.00938702103130673,sire_target_enc
AUSTRALIA,78,9.47036837524826,9.461215341647192,9.389821679558855,75,9.430558288775808,9.424307630196878,9.377427690854901,3,0.03690771145031313,sire_target_enc
AUTHORIZED,49,9.455245042782982,9.444156337151774,9.389821679558855,45,9.3921119196371,9.38944205985852,9.377427690854901,4,0.054714277293253843,sire_target_enc
AVERTI,2,8.758406266038383,9.284585777305443,9.389821679558855,2,8.758406266038383,9.274257453385482,9.377427690854901,0,0.010328323919960525,sire_target_enc
AVONBRIDGE,36,8.575678793311413,8.752666377278247,9.389821679558855,32,8.542436940336957,8.741244261888848,9.377427690854901,4,0.011422115389398968,sire_target_enc
AWESOME AGAIN,2,9.445342186599051,9.399075097398887,9.389821679558855,2,9.445342186599051,9.388746773478926,9.377427690854901,0,0.010328323919960525,sire_target_enc
AWTAAD,43,9.574724186868405,9.539836921338301,9.389821679558855,41,9.569193849911258,9.53159264225315,9.377427690854901,2,0.008244279085150907,sire_target_enc
AXXOS,1,11.03488966402723,9.539373314510526,9.389821679558855,1,11.03488966402723,9.528106052052387,9.377427690854901,0,0.011267262458138916,sire_target_enc
AZAMOUR,43,9.861351925753372,9.772383954773273,9.389821679558855,38,9.989821539428508,9.86223948764234,9.377427690854901,5,0.08985553286906622,sire_target_enc
BACHELOR DUKE,16,8.641385781022727,8.92924574199816,9.389821679558855,15,8.591300704506233,8.9057514990457,9.377427690854901,1,0.023494242952461164,sire_target_enc
BAGO,1,9.798127036878302,9.426940348406077,9.389821679558855,1,9.798127036878302,9.415673085947937,9.377427690854901,0,0.011267262458140692,sire_target_enc
BAHAMIAN BOUNTY,116,8.951488948806848,8.986277260771292,9.389821679558855,99,8.921021000777385,8.962893174178992,9.377427690854901,17,0.023384086592299624,sire_target_enc
BAHRI,8,9.496707056447878,9.437326291509532,9.389821679558855,7,9.466077255956337,9.413930452955492,9.377427690854901,1,0.023395838554039372,sire_target_enc
BAL A BALI,1,11.407564949312402,9.573252885900088,9.389821679558855,0,,9.377427690854901,,1,0.19582519504518636,sire_target_enc
BALMONT,1,10.645424897265505,9.503967426623095,9.389821679558855,1,10.645424897265505,9.492700164164956,9.377427690854901,0,0.011267262458138916,sire_target_enc
BALTIC KING,7,9.146585071600695,9.289665429223142,9.389821679558855,6,9.13595918820478,9.286877002361106,9.377427690854901,1,0.002788426862036175,sire_target_enc
BANGKOK,1,11.127262984158243,9.547770889067891,9.389821679558855,1,11.127262984158243,9.53650362660975,9.377427690854901,0,0.011267262458140692,sire_target_enc
BARATHEA,22,8.826467056151756,9.002515375966475,9.389821679558855,22,8.826467056151756,8.998642254496488,9.377427690854901,0,0.003873121469986529,sire_target_enc
BATED BREATH,105,9.287906538152958,9.296768724362167,9.389821679558855,101,9.283353631648117,9.291828772117197,9.377427690854901,4,0.004939952244969348,sire_target_enc
BATTLE OF MARENGO,5,9.446701147887158,9.408781502334955,9.389821679558855,5,9.446701147887158,9.400518843198988,9.377427690854901,0,0.008262659135967354,sire_target_enc
BEAT HOLLOW,44,9.168866320190046,9.20978397933242,9.389821679558855,38,9.207514329293492,9.242912946285452,9.377427690854901,6,0.0331289669530328,sire_target_enc
BECKFORD,2,10.787775619422327,9.622814002869434,9.389821679558855,2,10.787775619422327,9.612485678949472,9.377427690854901,0,0.010328323919962301,sire_target_enc
BELARDO,28,9.773656735934845,9.672647510572741,9.389821679558855,25,9.721827422101864,9.623427498888447,9.377427690854901,3,0.04922001168429446,sire_target_enc
BELLAMY ROAD,2,9.297317025537902,9.374404237222029,9.389821679558855,1,9.740968623038354,9.410476866507942,9.377427690854901,1,0.03607262928591304,sire_target_enc
BELONG TO ME,1,8.699514748210191,9.327066503981705,9.389821679558855,1,8.699514748210191,9.315799241523564,9.377427690854901,0,0.011267262458140692,sire_target_enc
BERING,1,8.294049640102028,9.290206039608234,9.389821679558855,1,8.294049640102028,9.278938777150096,9.377427690854901,0,0.011267262458138916,sire_target_enc
BERNARDINI,11,9.310771376827368,9.348414378128076,9.389821679558855,11,9.310771376827368,9.34251247874524,9.377427690854901,0,0.005901899382836362,sire_target_enc
BERNSTEIN,7,9.535726005943632,9.449899931599646,9.389821679558855,7,9.535726005943632,9.442609350009084,9.377427690854901,0,0.007290581590561729,sire_target_enc
BERTOLINI,40,8.80746695294449,8.923937898267361,9.389821679558855,32,8.77331838153774,8.917153931375159,9.377427690854901,8,0.006783966892202287,sire_target_enc
BEST OF THE BESTS,3,8.85704955185879,9.266874265474225,9.389821679558855,3,8.85704955185879,9.257340428009645,9.377427690854901,0,0.009533837464580586,sire_target_enc
BIANCONI,1,8.411832675758411,9.300913588304269,9.389821679558855,1,8.411832675758411,9.289646325846128,9.377427690854901,0,0.011267262458140692,sire_target_enc
